Alpha,q_inf,p_stat,P_bar,rho
-5.0,281.251758477928,30.758241522072012,1008.94,1.184
-4.0,282.910380224092,27.309619775908004,1008.95,1.184
-3.0,282.678944631604,26.80105536839602,1008.95,1.184
-2.0,281.63748446540797,26.03251553459205,1008.9,1.183
-1.0,281.17461328043197,27.495386719568046,1008.92,1.183
0.0,278.435958769324,32.43404123067603,1008.94,1.183
1.0,277.799510889982,28.990489110018018,1008.95,1.183
2.0,283.0646706190839,27.35532938091609,1008.94,1.183
3.0,281.3867625735459,27.763237426454054,1008.93,1.183
3.5,280.2488709104799,28.001129089520077,1008.94,1.183
4.0,284.125417084654,24.604582915346043,1008.99,1.183
4.5,280.846746191074,28.493253808926,1008.93,1.183
5.0,279.90171752174797,25.198282478252054,1008.94,1.183
5.5,280.44173390422003,28.05826609577997,1008.97,1.182
6.0,276.85448222065594,27.495517779344084,1008.97,1.182
6.5,284.18327598277597,26.51672401722402,1008.99,1.182
6.6,283.37325140906796,27.63674859093203,1009.01,1.182
6.7,279.6509956298859,23.909004370114076,1008.99,1.182
6.8,277.857369788104,27.092630211895994,1009.02,1.182
6.9,275.157287875744,28.632712124256045,1009.05,1.182
7.0,279.82457232425196,25.365427675748037,1009.05,1.182
7.1,278.22380947620996,25.476190523790024,1009.05,1.182
7.2,273.30580313583994,29.13419686416006,1009.06,1.182
7.3,280.92389138857,26.726108611429993,1009.09,1.182
7.4,278.60953546368995,25.95046453631005,1009.08,1.182
7.6,277.72236569248594,29.067634307514084,1009.11,1.182
7.8,284.45328417401197,26.106715825988033,1009.11,1.182
8.0,279.245983343032,27.894016656968006,1009.1,1.182
8.2,279.95957641986996,26.83042358013006,1009.11,1.182
8.4,281.23247217855396,24.77752782144603,1009.13,1.182
8.6,279.99814901861794,25.501850981382063,1009.15,1.182
8.8,278.47453136807195,26.595468631928043,1009.15,1.181
9.0,272.99722234585596,28.122777654144045,1009.16,1.181
9.2,283.392537708442,27.09746229155803,1009.14,1.181
9.2,276.9702000169,26.119799983099995,1009.15,1.181
9.3,276.98948631627394,30.610513683726083,1009.13,1.181
9.4,277.22092190876197,29.819078091238055,1009.11,1.181
9.5,276.314465838184,28.065534161816004,1009.16,1.181
9.6,277.22092190876197,27.569078091238055,1009.17,1.181
9.7,280.3067298086019,24.793270191398108,1009.14,1.181
9.8,279.18812444491,26.321875555090003,1009.14,1.181
9.9,278.99526145117,26.444738548830003,1009.11,1.181
10.0,275.870880952582,27.319119047417985,1009.13,1.181
10.1,277.124490411892,28.255509588107998,1009.12,1.181
10.3,278.088805380592,27.71119461940799,1009.11,1.181
10.5,274.443694798906,32.14630520109398,1009.1,1.181
10.7,277.39449860312794,28.585501396872075,1009.09,1.181
10.9,277.54878899811996,28.061211001880054,1009.07,1.181
11.1,278.088805380592,29.46119461940799,1009.08,1.18
11.3,276.98948631627394,29.140513683726056,1009.08,1.18
11.5,277.5102163993719,28.029783600628093,1009.07,1.18
11.7,277.22092190876197,28.65907809123803,1009.09,1.18
11.9,281.463907771042,28.01609222895803,1009.08,1.18
12.1,278.725253259934,31.274746740066007,1009.1,1.18
12.3,277.8380834887299,28.43191651127006,1009.1,1.18
12.5,276.98948631627394,30.25051368372607,1009.08,1.18
12.7,278.378099871202,30.081900128797997,1009.11,1.18
12.9,279.921003821122,30.088996178878006,1009.13,1.18
13.3,274.63655779264593,31.313442207354058,1009.13,1.18
13.5,279.18812444491,28.731875555090028,1009.14,1.18
13.5,277.64522049499,31.054779505010004,1009.14,1.18
13.7,280.59602429921193,29.21397570078807,1009.12,1.18
13.7,275.35015086948397,30.659849130516022,1009.12,1.18
13.9,280.094580515488,28.695419484512,1009.12,1.18
14.1,280.28744350922796,28.462556490772045,1009.11,1.18
14.3,277.799510889982,30.870489110018013,1009.12,1.18
14.1,280.76960099357797,28.240399006422024,1009.11,1.18
13.9,280.19101201235793,29.29898798764208,1009.12,1.18
13.7,279.88243122237395,30.707568777626022,1009.12,1.18
13.5,276.912341118778,28.98765888122199,1009.13,1.18
13.3,278.06951908121795,29.020480918782027,1009.13,1.18
13.1,280.808173592326,28.821826407673996,1009.12,1.18
12.9,277.27878080688396,28.321219193116065,1009.12,1.18
12.7,279.805286024878,28.084713975121986,1009.12,1.18
12.5,276.256606940062,32.17339305993801,1009.11,1.18
12.3,276.00588504819996,27.904114951800068,1009.11,1.179
12.1,278.06951908121795,31.530480918782075,1009.12,1.179
11.9,279.978862719244,28.151137280756018,1009.12,1.179
11.7,275.40800976760596,30.811990232394066,1009.1,1.179
11.5,276.025171347574,29.814828652426,1009.06,1.179
11.3,277.606647896242,29.14335210375799,1009.08,1.179
11.1,279.26526964240594,27.954730357594087,1009.12,1.179
10.9,278.22380947620996,26.966190523790033,1009.1,1.18
10.7,279.26526964240594,28.064730357594044,1009.12,1.179
10.5,278.397386170576,28.362613829423992,1009.12,1.179
